Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening,Sale Year,Sale Month,Sale Day
1150000,Dammfrivägen 48B,Lägenhet,"Malmö, Malmö kommun",2021-11-24,Nathalie Borgernäs,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/nathalie-borgernas-12201,41071.0,1045000,+105 000 kr (+10 %),Lägenhet,Bostadsrätt,"1,5 rum",28 m²,,"8 av 8, hiss finns",,1474.0,3480.0,,,,,,2021.0,11.0,24.0
745000,Uppsalagatan 11B,Lägenhet,"Dalaplan/Södervärn, Malmö kommun",2021-08-08,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,27593.0,795000,-50 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"1 av 4, hiss finns ej",1939,2479.0,,,,,,,2021.0,8.0,8.0
870000,Båstadsgatan 9,Lägenhet,"Östra Sorgenfri/Nobel, Malmö kommun",2019-10-29,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,28525.0,795000,+75 000 kr (+9 %),Lägenhet,Bostadsrätt,1 rum,"30,5 m²",Nej,,,1926.0,1285.0,,,,,,2019.0,10.0,29.0
985000,Lorensborgsgatan 5A,Lägenhet,"Lorensborg, Malmö kommun",2018-09-19,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,39400.0,945000,+40 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1958,1344.0,,,,,,Brf Åsunden,2018.0,9.0,19.0
1400000,Södra Förstadsgatan 3 C,Lägenhet,"Davidshall, Malmö kommun",2017-09-26,Therese Franzén,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-732631/therese-franzen-10143,58333.0,1495000,-95 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1927,1742.0,1800.0,,,,,Brf Tigern 11,2017.0,9.0,26.0
1210000,Annebergsgatan 12 B,Lägenhet,"Borgmästaregården / Pildammarna, Malmö kommun",2017-06-30,Fatima Friberg,https://www.hemnet.se/maklare/bohem-40591/fatima-friberg-10507,40333.0,1195000,+15 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1964-1965,1921.0,,,,,,,2017.0,6.0,30.0
1375000,Ingelstadsgatan 4,Lägenhet,"Slottsstaden/Ribersborg, Malmö kommun",2023-02-08,Gustav Cagmo,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/gustav-cagmo-8076,51306.0,1350000,+25 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,"26,8 m²",Nej,"2 av 3, hiss finns ej",1945,2761.0,,,,,,,2023.0,2.0,8.0
1060000,Drottninggatan 6B,Lägenhet,"Rörsjöstaden, Malmö kommun",2021-05-05,Nina  Hjelm,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/nina-hjelm-15172,36552.0,995000,+65 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"5, hiss finns",,2149.0,5435.0,,,,,,2021.0,5.0,5.0
1200000,Nordlinds väg 94C,Lägenhet,"Slottsstaden, Malmö kommun",2018-10-25,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,40000.0,1195000,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1953,1665.0,,,,,,HSB Brf Gamban,2018.0,10.0,25.0
775000,Annebergsgatan 12b,Lägenhet,"Borgmästaregården, Malmö kommun",2015-03-26,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,25833.0,750000,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1965,1925.0,2860.0,,,,,HSB Brf Lagmannen,2015.0,3.0,26.0
1120000,Typografgatan,Lägenhet,"Möllevången, Malmö kommun",2018-09-21,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,38621.0,1150000,-30 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,2017,2086.0,4632.0,,,,,Brf Friisgatan Typografen,2018.0,9.0,21.0
350000,Mariedalsvägen 55 A,Övrig,"Dammfri, Malmö kommun",2022-12-20,Jessica Johansson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/jessica-johansson-9359,,375000,-25 000 kr (-7 %),Övrig,Bostadsrätt,1 rum,31 m²,,,,1878.0,,,,,,,2022.0,12.0,20.0
695000,Per albin hanssons väg 56A,Lägenhet,"Blekingsborg, Malmö kommun",2021-03-02,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,29574.0,695000,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"9 av 10, hiss finns",1957,2433.0,,,,,,,2021.0,3.0,2.0
1397000,Erikstorpsgatan 10 A,Lägenhet,"Ribersborg, Malmö kommun",2019-10-02,Jenny Eriksson,https://www.hemnet.se/maklare/fastighetsbyran-ystad-11646/jenny-eriksson-13740,51172.0,1195000,+202 000 kr (+17 %),Lägenhet,Bostadsrätt,"1,5 rum","27,3 m²",,,1954,1254.0,,,,,,,2019.0,10.0,2.0
