Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
1 950 000 kr,Köpenhamnsvägen 13C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 28 april 2023,Malin Wallin,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-wallin-13595,34 211 kr/m²,1 695 000 kr,+255 000 kr (+15 %),Lägenhet,Bostadsrätt,2 rum,57 m²,,"5 av 5, hiss finns",1953,4 107 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-13c-3006017893522714366,4 273 kr/år,,,,,,,55.5942129,12.9656625
2 250 000 kr,Typografgatan 4B,Lägenhet,"Möllevången, Malmö kommun",Såld 22 februari 2023,Bella Forsberg,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/bella-forsberg-19448,44 118 kr/m²,2 195 000 kr,+55 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,51 m²,Ja,"5 av 10, hiss finns",2018,3 254 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-mollevangen-malmo-kommun-typografgatan-4b-2608591502524773134,3 960 kr/år,,,,,,,55.5943337,13.0097047
990 000 kr,Ängelholmsgatan 5,Lägenhet,"Möllevången, Malmö kommun",Såld 07 juli 2016,,,30 938 kr/m²,875 000 kr,+115 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,32 m²,,,1904,2 030 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-mollevangen-malmo-kommun-angelholmsgatan-5-541022,,,,,,Brf Fanan 3,,55.5930536,13.0091703
1 495 000 kr,Kronetorpsgatan 52A,Lägenhet,"Segevång, Malmö kommun",Såld 11 juli 2022,,,21 667 kr/m²,1 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,69 m²,Ja,"7 av 9, hiss finns",1960,4 702 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-segevang-malmo-kommun-kronetorpsgatan-52a-3705886007789801395,,,,,,,,55.6155646,13.0515358
1 995 000 kr,Köpenhamnsvägen 9 C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 10 mars 2023,Johanna Meyer,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-meyer-16549,37 642 kr/m²,1 995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,53 m²,Ja,"4 av 5, hiss finns",1954,4 470 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-9-c-111399495361349651,,,,,,,,55.5942129,12.9656625
1 295 000 kr,Övägen 11B,Lägenhet,"Ön, Malmö kommun",Såld 05 december 2017,,,39 846 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"32,5 m²",,,2007,2 232 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-on-malmo-kommun-ovagen-11b-769251,,,,,,Riksbyggens Brf Kronolotsen 1,,55.590339,12.9202608
1 200 000 kr,Konsultgatan 28,Lägenhet,"Södertorp, Malmö kommun",Såld 08 mars 2019,Åsa Öjes,https://www.hemnet.se/maklare/mohv-svedala-733831/asa-ojes-6815,19 355 kr/m²,1 095 000 kr,+105 000 kr (+10 %),Lägenhet,Bostadsrätt,2 rum,62 m²,,,1972,3 630 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sodertorp-malmo-kommun-konsultgatan-28-963738,175 kr/år,,,,,Hsb Brf Södertorp,,55.5765972,12.9885074
1 100 000 kr,Dansörgatan 20,Lägenhet,"Lindeborg, Malmö kommun",Såld 16 maj 2019,Alexandra Möller,https://www.hemnet.se/maklare/skandiamaklarna-landskrona-718151/alexandra-moller-15638,25 287 kr/m²,1 095 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"43,5 m²",,,1972,2 600 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-dansorgatan-20-1012850,1 440 kr/år,,,,,,,55.5601869,12.9882853
2 980 000 kr,Sergels väg 9B,Lägenhet,"Ribersborg, Malmö kommun",Såld 03 augusti 2021,,,48 852 kr/m²,2 645 000 kr,+335 000 kr (+13 %),Lägenhet,Bostadsrätt,2 rum,61 m²,Ja,"3 av 8, hiss finns",1954,3 394 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-sergels-vag-9b-1430934,4 200 kr/år,,,,,,,55.5995478,12.9755322
3 150 000 kr,Kockumsgatan 3B,Lägenhet,"Davidshall, Malmö kommun",Såld 11 september 2022,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,48 462 kr/m²,3 095 000 kr,+55 000 kr (+2 %),Lägenhet,Bostadsrätt,2 rum,65 m²,,3 av 4,1934,4 235 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-davidshall-malmo-kommun-kockumsgatan-3b-1551697270213623702,,,,,,,,55.5996828,12.9969687
